  MONTH     DAY     YEAR     HOUR     TEMP     HUMID    SOLAR    WIND
       1        7       90      700     42.8 0.003808      1.7     4.56
       1        7       90      800     42.7 0.003796      6.5     3.69
       1        7       90      900     42.4 0.003662     71.4     3.62
       1        7       90     1000     44.2   0.0055    229.3     3.55
       1        7       90     1100     48.8   0.0045    470.9     5.93
       1        7       90     1200     52.1   0.0035    584.1     5.72
       1        7       90     1300     53.4   0.0028    635.4     9.21
       1        7       90     1400     54.4   0.0027      609    10.78
       1        7       90     1500     55.3   0.0026      529     8.26
       1        7       90     1600       56   0.0024    378.1     8.15
       1        7       90     1700     56.1   0.0023    198.5     6.16
       1        7       90     1800     55.2   0.0024     32.8     3.61
       1        7       90     1900     53.9   0.0025      1.1     0.78
       1        7       90     2000     53.4   0.0026      1.5     0.78
       1        7       90     2100     52.6   0.0026      1.6     0.39
       1        7       90     2200     51.8   0.0027      1.6     3.35
       1        7       90     2300     50.7   0.0029      1.6     5.07
       1        8       90        0     49.5   0.0029      1.6     6.13
       1        8       90      100     47.9   0.0027      1.6     6.43
       1        8       90      200     46.6   0.0029      1.6     6.29
       1        8       90      300     44.9   0.0033      1.8     7.19
       1        8       90      400     45.1   0.0033      1.8     8.58
       1        8       90      500     44.9   0.0036      1.8     7.21
       1        8       90      600     42.8   0.0035      1.8     6.36
       1        8       90      700     42.5   0.0036        2     6.62
       1        8       90      800       41   0.0037     17.2     8.42
       1        8       90      900     41.7   0.0041    158.8     7.75
       1        8       90     1000     45.1   0.0038      343     8.76
       1        8       90     1100     50.6   0.0035      505      9.2
       1        8       90     1200     55.8   0.0031    615.8     7.22
       1        8       90     1300     59.3   0.0027    660.7     8.24
       1        8       90     1400     63.5   0.0023    638.8     8.28
       1        8       90     1500     65.3   0.0015    549.9     7.74
       1        8       90     1600     66.1   0.0012      403     7.95
       1        8       90     1700     65.8    0.002    215.4     9.31
       1        8       90     1800     63.9   0.0025     36.7     7.11
       1        8       90     1900     62.1   0.0029      0.4     6.51
       1        8       90     2000     59.6   0.0029      0.6     7.02
       1        8       90     2100     56.5   0.0038      0.7     7.25
       1        8       90     2200     53.9   0.0054      0.9    10.17
       1        8       90     2300     52.8   0.0053        1     9.11
       1        9       90        0     51.4    0.005        1     9.26
       1        9       90      100     50.4   0.0053      1.2     5.11
       1        9       90      200     50.8   0.0056      1.2     8.69
       1        9       90      300     49.8    0.006      1.2     8.41
       1        9       90      400     48.7   0.0062      1.4     8.45
       1        9       90      500     47.9   0.0062      1.5     6.82
       1        9       90      600     47.8   0.0059      1.6     5.18
       1        9       90      700     48.1   0.0062      1.5     3.76
       1        9       90      800     47.8   0.0065     19.2     6.58
       1        9       90      900     49.8   0.0071    197.8     3.04
       1        9       90     1000     53.3   0.0074    323.5     7.38
       1        9       90     1100     58.1   0.0072    444.5     8.71
       1        9       90     1200     61.9   0.0062    566.5     6.88
       1        9       90     1300     64.3   0.0053    530.9     3.61
       1        9       90     1400     65.5    0.005    477.7     2.45
       1        9       90     1500     68.2   0.0041    533.3     1.73
       1        9       90     1600     68.5   0.0038    389.4      2.7
       1        9       90     1700     68.4   0.0036    216.3      2.1
       1        9       90     1800     67.5   0.0036     23.8     2.06
       1        9       90     1900     64.5   0.0035      0.1     2.75
       1        9       90     2000     62.1    0.004      0.5     2.99
       1        9       90     2100       60   0.0041      0.7     4.47
       1        9       90     2200       59    0.004      0.9     5.19
       1        9       90     2300     58.5    0.004        1     1.96
       1       10       90        0     57.7   0.0038      1.1     4.04
       1       10       90      100     56.8   0.0034      1.2     5.78
       1       10       90      200     57.8   0.0031      1.1     3.05
       1       10       90      300     55.2   0.0033      1.2     4.01
       1       10       90      400     53.6   0.0031      1.4     3.65
       1       10       90      500     51.5   0.0032      1.5     1.31
       1       10       90      600     51.4   0.0032      1.6     0.56
       1       10       90      700     48.7   0.0035      1.6     1.16
       1       10       90      800     46.9   0.0035     16.5     1.76
       1       10       90      900     47.2   0.0036    153.9      1.2
       1       10       90     1000     53.6   0.0035    336.7     0.37
       1       10       90     1100       59   0.0029    498.7     2.83
       1       10       90     1200     63.5   0.0022    609.5     4.66
       1       10       90     1300     66.6   0.0018    658.3     3.73
       1       10       90     1400     68.6   0.0015    636.8      3.6
       1       10       90     1500       70   0.0015      547     4.24
       1       10       90     1600     70.9   0.0017    400.1     5.13
       1       10       90     1700     71.3   0.0019    213.7     6.57
       1       10       90     1800     69.8   0.0027     36.5     5.16
       1       10       90     1900       68   0.0032        0     5.25
       1       10       90     2000     65.9   0.0043      0.1      6.2
       1       10       90     2100     62.5   0.0067      0.4     8.89
       1       10       90     2200     59.3   0.0082      0.5      7.2
       1       10       90     2300     57.4   0.0093      0.7     3.91
       1       11       90        0     56.1 0.006101        1     2.75
       1       11       90      100     55.5 0.006865      0.9     4.12
       1       11       90      200     55.3 0.006931      0.9     8.46
       1       11       90      300       56 0.006661      0.9     6.01
       1       11       90      400     55.9 0.006933      0.9     4.95
       1       11       90      500     55.2 0.006644      0.9     5.79
       1       11       90      600     56.8 0.007407      0.9     8.96
       1       11       90      700     55.6 0.007095        1      9.1
       1       11       90      800     55.2 0.006738      7.9     8.57
       1       11       90      900     55.1 0.006698     65.8     9.33
       1       11       90     1000     56.5   0.0097    322.5     8.95
       1       11       90     1100       59   0.0091    490.4     8.27
       1       11       90     1200     62.8   0.0076    605.6     8.81
       1       11       90     1300     66.8   0.0064    655.4     8.82
       1       11       90     1400     70.2   0.0057    632.4     8.52
       1       11       90     1500     73.2   0.0056    544.1      5.9
       1       11       90     1600       75    0.005    398.2     4.35
       1       11       90     1700     74.8    0.005    207.3     4.68
       1       11       90     1800     73.7   0.0051     34.3     4.25
       1       11       90     1900     71.9   0.0054        0     3.22
       1       11       90     2000     68.6    0.006      0.3     1.07
       1       11       90     2100     65.2   0.0063      0.5     2.33
       1       11       90     2200     63.2   0.0043      0.7     7.19
       1       11       90     2300     60.6   0.0039      0.9     5.57
       1       12       90        0       57   0.0035        1     7.55
       1       12       90      100     54.6   0.0025      1.1     8.67
       1       12       90      200     52.6    0.002      1.4     9.31
       1       12       90      300     50.8   0.0016      1.5    10.23
       1       12       90      400     48.9   0.0012      1.7    12.32
       1       12       90      500     47.5   0.0013      1.8    11.33
       1       12       90      600     47.1   0.0018      1.8    12.09
       1       12       90      700     46.3   0.0017      1.8    10.62
       1       12       90      800     45.1   0.0017     16.2     7.92
       1       12       90      900     45.2    0.001    152.7     8.69
       1       12       90     1000     48.2   0.0003    344.5     11.1
       1       12       90     1100     51.7 0.004067    510.9    14.85
       1       12       90     1200     53.1 0.003996    623.2    13.38
       1       12       90     1300     55.1 0.003704    670.5    12.55
       1       12       90     1400     56.3 0.003688    649.5    12.25
       1       12       90     1500     56.8 0.003929    562.1    12.84
       1       12       90     1600     56.8 0.004475    416.2    11.73
       1       12       90     1700     55.1 0.004507    228.6    12.09
       1       12       90     1800     52.6 0.004746     43.6    10.67
       1       12       90     1900     49.4 0.004776      1.5     9.06
       1       12       90     2000     46.6   0.0001      1.7     7.34
       1       12       90     2100     44.4   0.0002        2     7.73
       1       12       90     2200     42.5   0.0003      2.1     6.21
       1       12       90     2300     40.9   0.0004      2.5     5.65
       1       13       90        0     39.5   0.0005      2.5      5.8
       1       13       90      100     38.3   0.0005      2.6     5.68
       1       13       90      200       37   0.0005      2.7     4.98
       1       13       90      300     35.9   0.0006      2.7     5.94
       1       13       90      400     34.4   0.0006      2.8     5.24
       1       13       90      500     33.7   0.0007      2.9     4.46
       1       13       90      600     32.7   0.0007      3.1     3.83
       1       13       90      700     32.4   0.0007      3.2     3.25
       1       13       90      800     32.1   0.0008     21.9     1.88
       1       13       90      900     33.1   0.0008      157     4.86
       1       13       90     1000     36.4   0.0008    328.4     6.29
       1       13       90     1100       41   0.0005    514.3     8.78
       1       13       90     1200     44.6   0.0003    469.4      6.5
       1       13       90     1300     48.8 0.002401    668.5     6.24
       1       13       90     1400     51.4 0.002577    644.1     7.65
       1       13       90     1500     53.2   0.0001    522.1     7.42
       1       13       90     1600     54.8   0.0003    392.3     7.19
       1       13       90     1700     55.1   0.0006    170.5     6.85
       1       13       90     1800     54.4   0.0011      8.9     3.93
       1       13       90     1900     53.7   0.0014      1.1     3.52
       1       13       90     2000     52.2   0.0018      1.1     6.49
       1       13       90     2100     50.1   0.0022      1.2     9.24
       1       13       90     2200     48.6    0.003      1.4     8.88
       1       13       90     2300       48   0.0035      1.6     8.45
       1       14       90        0     48.4   0.0041      1.6     7.15
       1       14       90      100     47.7   0.0044      1.7     5.33
       1       14       90      200     47.1   0.0046      1.7     4.66
       1       14       90      300     46.6   0.0048      1.8     3.15
       1       14       90      400     46.4   0.0049      1.7     2.16
       1       14       90      500     46.5    0.005      1.7     1.87
       1       14       90      600     47.1   0.0052      1.7     1.85
       1       14       90      700     47.8   0.0054      1.6      1.4
       1       14       90      800     48.1   0.0055      4.4     1.17
       1       14       90      900     48.9   0.0058     30.6     1.79
       1       14       90     1000     51.2   0.0062     96.8     3.23
       1       14       90     1100       54   0.0065    182.4     2.96
       1       14       90     1200     58.6   0.0069    273.7      6.5
       1       14       90     1300     61.8   0.0074    136.6     6.56
       1       14       90     1400     63.1    0.008      120     5.93
       1       14       90     1500     64.4   0.0081    185.1      7.3
       1       14       90     1600     65.3    0.008    148.8     7.45
       1       14       90     1700     65.8   0.0082     75.1     6.92
       1       14       90     1800     65.2   0.0084     11.4     3.59
       1       14       90     1900     64.7   0.0084      0.5     4.64
       1       14       90     2000     64.4   0.0086      0.5     4.58
       1       14       90     2100     64.2   0.0092      0.5     5.24
       1       14       90     2200     63.1   0.0097      0.5     5.22
       1       14       90     2300     62.4   0.0104      0.6     6.12
       1       15       90        0     62.3   0.0115      0.6     6.15
       1       15       90      100     62.5   0.0121      0.6     5.35
       1       15       90      200     61.5   0.0117      0.6     4.15
       1       15       90      300     60.8   0.0115      0.7     3.89
       1       15       90      400     60.3 0.009108      0.7     4.27
       1       15       90      500     60.1 0.008472      0.6     4.59
       1       15       90      600     60.3  0.00936      0.6     3.57
       1       15       90      700     60.7 0.009015      0.6     4.31
       1       15       90      800     61.6 0.009132      3.2     4.55
       1       15       90      900     61.8 0.008738     56.5     5.34
       1       15       90     1000     62.8 0.009635      120     6.64
       1       15       90     1100       64   0.0128    253.4     7.64
       1       15       90     1200     65.6   0.0128    245.9     7.89
       1       15       90     1300     67.5   0.0113    279.1     8.82
       1       15       90     1400     71.1   0.0089    579.2     10.8
       1       15       90     1500     71.9   0.0081    379.6     10.4
       1       15       90     1600     72.2   0.0079    288.3      9.2
       1       15       90     1700     72.2   0.0076    193.4    10.67
       1       15       90     1800     70.7   0.0078     32.8     7.27
       1       15       90     1900     68.5   0.0087      0.1     7.43
       1       15       90     2000     66.7   0.0089      0.1     5.99
       1       15       90     2100     64.3   0.0086      0.4     8.74
       1       15       90     2200     62.3   0.0089      0.5     9.84
       1       15       90     2300     61.1   0.0094      0.6      8.1
       1       16       90        0     60.3   0.0097      0.7     6.66
       1       16       90      100     59.5   0.0103      0.7     8.55
       1       16       90      200     59.3   0.0108      0.7     6.58
       1       16       90      300     58.8   0.0107      0.9     7.82
       1       16       90      400     58.6 0.008467      0.9     8.37
       1       16       90      500       59 0.008847      0.9     8.81
       1       16       90      600     59.6 0.010097      0.7     7.89
       1       16       90      700       61 0.009118      0.6     8.41
       1       16       90      800     62.1 0.010912        7    10.17
       1       16       90      900     63.2   0.0125     54.8     9.29
       1       16       90     1000     64.5   0.0131    126.3     9.24
       1       16       90     1100     65.3   0.0134    107.8     9.79
       1       16       90     1200     66.4   0.0133      149     9.18
       1       16       90     1300     67.9   0.0126    168.8      9.2
       1       16       90     1400     68.3   0.0132    138.3     8.17
       1       16       90     1500     69.5    0.013    135.8     8.96
       1       16       90     1600     69.8   0.0129     68.5     9.77
       1       16       90     1700       69   0.0133     51.1     7.84
       1       16       90     1800     68.6   0.0137     19.9     7.07
       1       16       90     1900     68.3   0.0134      0.1     6.99
       1       16       90     2000     67.3   0.0142      0.3     7.09
       1       16       90     2100     66.6   0.0141      0.1     7.96
       1       16       90     2200       66   0.0138      0.3     8.05
       1       16       90     2300       66   0.0138      0.1     8.19
       1       17       90        0       66   0.0138      0.1     6.77
       1       17       90      100     65.7   0.0137      0.3     5.86
       1       17       90      200     65.5   0.0136      0.3     5.17
       1       17       90      300     65.5 0.013911      0.3     4.95
       1       17       90      400     66.2 0.014294      0.3     6.69
       1       17       90      500       67 0.014064      0.1     10.7
       1       17       90      600     67.2 0.014476      0.1    10.73
       1       17       90      700       67 0.014736      0.1    10.22
       1       17       90      800     66.8 0.014298     12.1     8.62
       1       17       90      900     67.2 0.013511     93.6     8.04
       1       17       90     1000     68.2   0.0149     81.2     11.5
       1       17       90     1100     68.7   0.0151    124.3    10.58
       1       17       90     1200     68.8   0.0152    181.2     9.91
       1       17       90     1300       69   0.0153    130.5     9.31
       1       17       90     1400     68.3    0.015     76.3     7.43
       1       17       90     1500     67.3   0.0144     94.6      7.5
       1       17       90     1600     67.8 0.013917     56.8     5.75
       1       17       90     1700     68.7   0.0152     29.2     5.79
       1       17       90     1800       69   0.0153      4.5     5.08
       1       17       90     1900     68.6   0.0151        0     7.89
       1       17       90     2000     68.2    0.015        0     6.25
       1       17       90     2100       68 0.012933        0      5.2
       1       17       90     2200     67.6   0.0131        0      5.7
       1       17       90     2300     67.6 0.011512        0      4.6
       1       18       90        0     67.3 0.014818        0     3.73
       1       18       90      100     66.7 0.015728      0.1      2.6
       1       18       90      200     66.5 0.015324      0.1     1.93
       1       18       90      300     66.3 0.015146      0.1     1.42
       1       18       90      400     65.7 0.014862      0.1     2.47
       1       18       90      500     64.2    0.013      0.1     5.27
       1       18       90      600     62.3 0.012354      0.3     6.11
       1       18       90      700     62.5 0.012487      0.3     4.43
       1       18       90      800     62.8 0.012221      0.7     2.54
       1       18       90      900       61 0.010289      8.4     4.65
       1       18       90     1000     60.4 0.010038     51.9     5.65
       1       18       90     1100     64.6  0.01141    147.8     5.48
       1       18       90     1200     68.2 0.012839    172.4     6.73
       1       18       90     1300     69.8   0.0157    287.4     8.44
       1       18       90     1400     69.7   0.0157    183.2     7.98
       1       18       90     1500     70.4   0.0161    144.4      7.8
       1       18       90     1600     69.6   0.0156    115.1     6.71
       1       18       90     1700     71.7   0.0151     90.4     6.39
       1       18       90     1800       71   0.0152      8.9     9.88
       1       18       90     1900     69.3   0.0154     -0.1    10.68
       1       18       90     2000     68.9   0.0153     -0.1    11.04
       1       18       90     2100     68.7   0.0152     -0.1    10.12
       1       18       90     2200     68.5   0.0151     -0.1    11.41
       1       18       90     2300     68.5   0.0151     -0.1    11.35
       1       19       90        0       68   0.0148     -0.1    10.62
       1       19       90      100     67.7   0.0146        0    10.49
       1       19       90      200     67.5   0.0145        0     9.34
       1       19       90      300     67.6   0.0146        0     9.64
       1       19       90      400     67.4   0.0145        0     9.87
       1       19       90      500     67.5   0.0145     -0.1    10.33
       1       19       90      600     67.3   0.0144        0    10.73
       1       19       90      700       67   0.0143     -0.1    10.64
       1       19       90      800       67   0.0143      2.8    11.72
       1       19       90      900     67.3   0.0144     31.9    10.55
       1       19       90     1000       68   0.0148    100.9    10.66
       1       19       90     1100     68.5    0.015     65.5    11.63
       1       19       90     1200       68   0.0148     48.5    10.27
       1       19       90     1300     68.5   0.0151    271.3    10.93
       1       19       90     1400     70.5   0.0161    234.7    12.63
       1       19       90     1500     66.9   0.0132      106    14.71
       1       19       90     1600       58     0.01    160.5    14.83
       1       19       90     1700     56.7   0.0095       47    11.49
       1       19       90     1800       56   0.0087      7.2    12.15
       1       19       90     1900     55.7   0.0085      0.6    11.08
       1       19       90     2000     54.7   0.0073      0.7    11.11
       1       19       90     2100     53.7   0.0069      0.9    11.27
       1       19       90     2200     53.1   0.0066      0.9     9.78
       1       19       90     2300     52.7    0.006      0.9     9.86
       1       20       90        0     52.2   0.0055      0.9     9.57
       1       20       90      100     53.3   0.0056        1     9.04
       1       20       90      200     50.8    0.005        1     8.03
       1       20       90      300     50.1    0.005      1.1      7.4
       1       20       90      400     49.9   0.0051      1.2     5.74
       1       20       90      500     49.8   0.0051      1.1     5.76
       1       20       90      600     48.3   0.0054      1.2        4
       1       20       90      700     47.3   0.0057      1.2     4.67
       1       20       90      800     46.6   0.0061      3.2     3.86
       1       20       90      900     46.4   0.0056     23.6     4.14
       1       20       90     1000     47.1   0.0051     55.8     3.33
       1       20       90     1100     48.1    0.005    134.1      4.5
       1       20       90     1200     49.8   0.0045    235.6     4.95
       1       20       90     1300     51.8   0.0044    412.8     5.85
       1       20       90     1400     55.7   0.0033    637.8     8.29
       1       20       90     1500     56.6   0.0029    580.2     7.96
       1       20       90     1600     57.7   0.0029    410.8     6.73
       1       20       90     1700     57.3   0.0029    129.7     5.55
       1       20       90     1800       56   0.0031     10.6     5.81
       1       20       90     1900     54.6   0.0033      0.7     2.85
       1       20       90     2000     53.9   0.0035      0.9      0.4
       1       20       90     2100     53.3   0.0036        1     0.11
       1       20       90     2200     52.2   0.0039      1.1     1.66
       1       20       90     2300     51.4    0.004      1.1     2.08
       1       21       90        0     49.9   0.0043      1.2     5.54
       1       21       90      100     47.9   0.0045      1.4     5.21
       1       21       90      200     47.2   0.0043      1.5      5.1
       1       21       90      300     46.4   0.0044      1.6     6.08
       1       21       90      400     45.4   0.0041      1.7     6.03
       1       21       90      500     43.8   0.0036      1.8     4.91
       1       21       90      600     42.8   0.0035      1.8      3.9
       1       21       90      700       42   0.0034        2      4.2
       1       21       90      800     41.7   0.0034     23.6     3.89
       1       21       90      900     42.5   0.0034    141.4     1.63
       1       21       90     1000     47.1   0.0033    339.6     4.41
       1       21       90     1100     51.6   0.0029    510.4     6.26
       1       21       90     1200     53.6   0.0026    576.8     5.51
       1       21       90     1300     55.8   0.0024    679.8     7.06
       1       21       90     1400     57.8   0.0022    668.5     7.09
       1       21       90     1500     59.5    0.002    582.2     5.65
       1       21       90     1600       61   0.0016    437.7     5.55
       1       21       90     1700     61.3   0.0014    251.5     5.24
       1       21       90     1800     60.1   0.0019     61.1     4.58
       1       21       90     1900       57   0.0029      0.6      4.6
       1       21       90     2000     55.1   0.0032      0.9      3.2
       1       21       90     2100     54.1   0.0031      0.9     0.88
       1       21       90     2200     54.6   0.0024      1.2     1.41
       1       21       90     2300     53.6   0.0023      1.2     2.68
       1       22       90        0     52.1   0.0025      1.2     2.84
       1       22       90      100     51.1   0.0025      1.2     1.88
       1       22       90      200     48.5    0.003      1.4     1.14
       1       22       90      300     49.8   0.0032      1.5     2.27
       1       22       90      400     48.2   0.0036      1.5      0.2
       1       22       90      500     46.4   0.0032      1.5     5.07
       1       22       90      600     46.6   0.0031      1.6      1.8
       1       22       90      700     47.1   0.0031      1.6     0.23
       1       22       90      800     46.2   0.0033     14.8     0.34
       1       22       90      900     47.1   0.0035    163.6     1.53
       1       22       90     1000     50.8   0.0038      362     3.28
       1       22       90     1100     54.5   0.0033      526     2.97
       1       22       90     1200     58.2   0.0032    612.4     4.67
       1       22       90     1300     60.9   0.0031    666.1     4.01
       1       22       90     1400       63   0.0024    612.9     5.56
       1       22       90     1500     64.7   0.0022      548     5.47
       1       22       90     1600     65.4    0.002    418.7     6.87
       1       22       90     1700     65.5   0.0019      209     7.12
       1       22       90     1800     64.5   0.0021     34.5     5.02
       1       22       90     1900     62.3   0.0024      0.4     4.54
       1       22       90     2000     59.8   0.0027      0.4     6.24
       1       22       90     2100     59.2   0.0028      0.5     6.38
       1       22       90     2200     58.2   0.0029      0.5     9.01
       1       22       90     2300     55.6   0.0031      0.6    11.02
       1       23       90        0     53.9   0.0034      0.6     9.29
       1       23       90      100     52.1   0.0045      0.9     6.77
       1       23       90      200       51   0.0052        1     8.26
       1       23       90      300     50.3   0.0057      1.1     7.87
       1       23       90      400     49.9    0.006      1.2     8.26
       1       23       90      500     49.3   0.0063      1.2     5.78
